     Hi there do you sell cakes?	  Hello! Yes we have a delicious range of cakes. What kind are you looking for today?
     Are you open today?	  Yes we are! We're open until 7 PM. Can I help you with anything specific?
     What kind of cakes do you offer? 	 We offer a variety including chocolate vanilla red velvet fruit and custom designs. Do you have a flavor in mind?
     Where is your store located? 	 We're an online store so we operate purely through delivery or pickup. Are you looking to order?
     Do you have a physical shop? 	 We're an online bakery primarily but we do offer pickup from our kitchen. Would you like the address for pickup?
     What are your business hours? 	 We take online orders 24/7! For pickups our kitchen is open Monday to Saturday 9 AM to 7 PM.
     How can I contact customer service? 	 You can reach us via phone at (123) 456-7890 or email us at support@cakestore.com. How may I help you?
     Do you deliver?	  Yes we offer local delivery. What's your postcode so I can check availability and cost?
     Can I see your menu? 	 Our full menu is available on our website. Would you like a direct link?
     Do you have any specials this week?	  Yes we often have weekly specials! You can find them on our homepage or I can list a few for you. What flavors do you prefer?
     How do I place an order?	  You can order directly through our website or you can give us a call if you need assistance.
     Can I order a custom cake?	  Absolutely! We love creating custom cakes. What occasion is it for?
     It's for a birthday party. 	 Fantastic! For a birthday cake what theme or design are you thinking of?
     I need a cake for an anniversary.	  Congratulations! We have elegant designs for anniversaries. What size are you looking for?
     How far in advance do I need to order a custom cake?	  For custom cakes we recommend ordering at least 7-10 days in advance. Do you have a date in mind?
     What information do you need for a custom order?	  We'll need the date occasion desired size flavor design ideas and any personalized message. Do you have a design photo?
     Can I send you a picture for a custom design?	  Yes you can upload design inspiration on our custom order form on the website. Is there a particular style you like?
     What flavors can I choose for a custom cake?	  Our popular custom cake flavors include vanilla chocolate red velvet lemon and carrot. Do any of these appeal to you?
     Can I mix and match flavors in layers?	  Yes for multi-tiered cakes you can often select different flavors for each tier. Which flavors are you considering?
     Do you offer different frosting types?	  Yes we offer buttercream cream cheese frosting ganache and fondant. Do you have a preference?
     What sizes are available for custom cakes?	  Our custom cakes range from 6-inch (serving 8-10) to large tiered cakes for 100+ guests. How many people are you expecting?
     How many servings is a 8-inch cake?	  An 8-inch round cake typically serves 12-16 people. Is that suitable for your event?
     Can I get a personalized message on the cake?	  Yes personalized messages are included with custom orders. What message would you like?
     What kind of decorations do you offer?	  We offer a wide range including edible images fresh flowers custom toppers drip cakes and intricate piping. What kind of look are you going for?
     Do you use edible glitter?	  Yes we do use edible glitter to add a sparkle to your cake! Is there a specific color you had in mind?
     Can I get a unicorn cake?	  Yes unicorn cakes are a popular request! We can create a magical design for you. What colors would you like for the mane?
     How much does a custom cake cost?	  Custom cake pricing depends on size complexity of design and flavor. If you provide some details I can give you an estimate.
     Can I get a quote for my custom cake idea?	  Yes please fill out our custom order inquiry form on the website with all your details and we'll send you a quote. Is there a specific date you need it by?
     Is there a minimum order for custom cakes?	  Our minimum size for custom cakes is a 6-inch round. Are you looking for something smaller?
     Do you offer cake tastings?	  Yes we offer cake tasting boxes for custom wedding or large event orders. Would you like to schedule one?
     How do I confirm my order?	  Once you've submitted your order online you'll receive an email confirmation. Have you received yours?
     What if I need to change my order?	  Please contact us as soon as possible for any changes. Changes within 72 hours of pickup/delivery might incur a fee. What change do you need to make?
     Can I cancel my order?	  Cancellations are subject to our policy. Please contact us immediately to discuss. Do you have your order number ready?
     Do you make cupcakes?	  Yes we make cupcakes! We have a variety of flavors available for individual purchase or in dozens. What flavor are you interested in?
     What kind of pastries do you have?	  Aside from cakes and cupcakes we offer brownies cookies and dessert bars. Is there a particular type of pastry you prefer?
     Can I order a gluten-free birthday cake?	  Yes we offer delicious gluten-free birthday cakes! What size and flavor are you looking for?
     Do you have sugar-free options?	  We have some limited sugar-free options. Please contact us directly to inquire about specific flavors and availability.
     Are your cakes vegan?	  We offer a selection of vegan cakes and cupcakes. Our most popular vegan flavor is Red Velvet. Would you like to know more about our vegan options?
     What allergens are in your cakes?	  Our cakes may contain common allergens like wheat dairy eggs soy and nuts. We recommend reviewing the ingredient list on our website for specific cakes. Do you have a specific allergy concern?
     Do you have nut-free cakes?	  While we strive to prevent cross-contamination our kitchen handles nuts. We cannot guarantee 100% nut-free. Please be cautious if you have a severe nut allergy.
     Are your ingredients organic?	  We prioritize high-quality fresh ingredients. Some are organic but not all. Is there a specific ingredient you're curious about?
     Do you use natural food colorings?	  We primarily use high-quality food-grade gel colors. For specific natural coloring requests please mention it when ordering a custom cake.
     Can I place a corporate order?	  Yes we handle corporate orders for events and gifts. What kind of cakes or treats are you interested in for your business?
     Do you offer wholesale pricing?	  Yes we offer wholesale pricing for bulk orders. Please contact our corporate sales team for more details.
     Can I get a custom logo on my corporate cake?	  Yes we can definitely incorporate your company logo onto custom corporate cakes using edible imaging. Do you have the logo file ready?
     What's your biggest cake?	  Our largest standard tiered cake can serve over 100 people. We can also create even larger custom designs. How many guests are you looking to serve?
     Do you make wedding cakes?	  Yes we specialize in beautiful custom wedding cakes! Would you like to schedule a consultation or view our wedding cake gallery?
     What's your most popular cake flavor?	  Our most popular flavors are our rich chocolate fudge and classic vanilla bean. Have you tried them?
     Do you have seasonal cake flavors?	  Yes we offer seasonal flavors! Currently we have [mention 1-2 seasonal flavors]. Are you looking for something festive?
     Can I add fresh fruit to my cake?	  Yes fresh fruit can be added to many of our cakes especially our vanilla and lemon flavors. Which fruits do you prefer?
     Do you make tiered cakes?	  Yes we make beautiful tiered cakes for weddings and special events. How many tiers are you considering?
     Can I choose my cake stand?	  We provide standard cake boards but you would typically arrange your own decorative cake stand for display. We can recommend some options if needed.
     Do you provide candles with cakes?	  We do not include candles by default but you can add a pack of candles to your order during checkout. Would you like to add them?
     Are your cakes baked fresh?	  Absolutely! All our cakes are baked fresh to order using high-quality ingredients.
